Compound	Object ID	Chemical Formula	InChI-Key	ChEBI
&alpha;-ketoglutaryl-diaminobutyryl-citryl-ethanolamine	CPD-12579	C17H23N3O12	InChIKey=XDMDJXGKRPSSPK-UHFFFAOYSA-L	
pteroyl-&gamma;-glutamyl-&gamma;-glutamylglutamate	CPD0-1473	C29H29N9O12	InChIKey=WOLQREOUPKZMEX-BZSNNMDCSA-J	
palmitoyl sphingomyelin	CPD66-42	C39H79N2O6P	InChIKey=RWKUXQNLWDTSLO-GWQJGLRPSA-N	78646
fumaquinone	CPD-24065	C17H18O5	InChIKey=DZMXLHINHRMDEG-UHFFFAOYSA-N	
(<i>R</i>)-2-methylpyrrolidine	CPD-16509	C5H12N	InChIKey=RGHPCLZJAFCTIK-RXMQYKEDSA-O	78222
&beta;-D-galactosyl-1,3-&beta;-D-galactosyl-1,4-&beta;-D-glucosyl-R	D-GALACTOSYL-13-BETA-D-GALACTOSYL-14-B			17227
&omega;-hydroxyphylloquinone	CPD-16628	C31H46O3	InChIKey=RYJLHGDNDDQPAO-LYBHJNIJSA-N	78276
crinine	CPD-19439	C16H17NO3	InChIKey=RPAORVSEYNOMBR-IUIKQTSFSA-N	31437
quercetin-3,3'-bissulfate	QUERCETIN-33-BISSULFATE	C15H7O13S2	InChIKey=CVENNDDRCHLONB-UHFFFAOYSA-K	58305
juglone	HYDROXYNAPHTHOQUINONE	C10H6O3	InChIKey=KQPYUDDGWXQXHS-UHFFFAOYSA-N	15794
kainate	CPD-22470	C10H14NO4	InChIKey=VLSMHEGGTFMBBZ-OOZYFLPDSA-M	31746
11-deoxycorticosterone	11-DEOXYCORTICOSTERONE	C21H30O3	InChIKey=ZESRJSPZRDMNHY-YFWFAHHUSA-N	16973
(<i>E</i>)-but-1-en-1-<i>SO</i>-peroxol	CPD-13605	C4H8OS	InChIKey=NGMITSIERXESJI-ONEGZZNKSA-N	183058
8-[(2S)-2-amino-2-carboxylatoethyl]-5-hydroxy-2H-1,4-benzothiazine-3-carboxylate	CPD-20264	C12H11N2O5S	InChIKey=RQBIFHFSVGODDD-LURJTMIESA-M	
D-ribonate	CPD-373	C5H9O6	InChIKey=QXKAIJAYHKCRRA-BXXZVTAOSA-M	17773
(<i>E</i>)-prop-1-en-1-<i>SO</i>-peroxol	CPD-9304	C3H6OS	InChIKey=MJPOWQTYEJVYKF-NSCUHMNNSA-N	183057
berbamunine	BERBAMUNINE	C36H42N2O6	InChIKey=FDABVSXGAMFQQH-XZWHSSHBSA-P	57894
thioanisole	CPD-14757	C7H8S	InChIKey=HNKJADCVZUBCPG-UHFFFAOYSA-N	134281
6-methoxy-2-all-trans-octaprenyl-1,4-benzoquinone	CPD-15152	C47H70O3	InChIKey=AFTBILPWMUSGIN-MYCGWMCTSA-N	28423
6,6'-dithiodinicotinate	CPD-7704	C12H6N2O4S2	InChIKey=GSASOFRDSIKDSN-UHFFFAOYSA-L	475629
furfuryl methyl sulfide	CPD-14760	C6H8OS	InChIKey=SKSFHXVDHVKIBN-UHFFFAOYSA-N	
3,7-dimethylurate	CPD-12482	C7H8N4O3	InChIKey=HMLZLHKHNBLLJD-UHFFFAOYSA-N	68531
&beta;-D-galactosyl-(1&harr;1')-<i>N</i>-hexadecanoylsphinganine	CPD-25370	C40H79NO8	InChIKey=BLGKYYVFGMKTEZ-VEZWYSRTSA-N	84783
chlorobiumquinone	CPD-9611	C47H64O3	InChIKey=YWMLSCOVGHJYHM-ILMHSFRGSA-N	
pyrithiamine phosphate	CPD0-1426	C14H18N4O4P	InChIKey=NEWJDFMMVWTGEX-UHFFFAOYSA-M	
homotaurine	CPD-11725	C3H9NO3S	InChIKey=SNKZJIOFVMKAOJ-UHFFFAOYSA-N	1457
2-iodosobenzoate	CPD-16169	C7H4O3I	InChIKey=IFPHDUVGLXEIOQ-UHFFFAOYSA-M	52698
an N-acetyl-&alpha;-neuraminyl-(2->3)-&beta;-D-galactosyl-(1->3)-[(&alpha;-<i>N</i>-acetylneuraminyl-(2->6)]-N-acetyl-&alpha;-D-galactosaminyl-R	ALPHA-N-DIACETYLNEURAMINYL-23-BETA-D-ETC			17850
sulfoacetate	CPD-10246	C2H2O5S	InChIKey=AGGIJOLULBJGTQ-UHFFFAOYSA-L	58824
2-<i>S</i>-cysteinyldopaquinone	CPD-20261	C12H14N2O6S	InChIKey=WZVBMYNCJXSJII-BQBZGAKWSA-N	
cycasin	CYCASIN	C8H16N2O7	InChIKey=YHLRMABUJXBLCK-LBCXAKKBSA-N	17074
an <i>N</i>-acetyl-&alpha;-neuraminyl-(2&rarr;6)-&beta;-D-galactosyl-(1&rarr;4)-<i>N</i>-acetyl-&beta;-D-glucosaminyl-R	CPD-16483			
2-hydroxy-6-methoxy-hexa-2,4-dienoate	CPD-19410	C7H7O5	InChIKey=OIBKZDZZNMNCAY-HZDAAVBUSA-M	
7-carboxymellein	CPD-22717	C11H9O5	InChIKey=POPKYYDFBOZZGX-RXMQYKEDSA-M	192525
2,5-dichloro-<i>p</i>-quinone	CPD-13246	C6H2O2Cl2	InChIKey=LNXVNZRYYHFMEY-UHFFFAOYSA-N	
prephenate	PREPHENATE	C10H8O6	InChIKey=FPWMCUPFBRFMLH-XGAOUMNUSA-L	29934
mellein	CPD-22714	C10H10O3	InChIKey=KWILGNNWGSNMPA-UHFFFAOYSA-N	38760
enolpyruvoyl-2-diphospho-5'-guanosine	CPD-22326	C13H14N5O13P2	InChIKey=HEEGRWSFVXWVAQ-IOSLPCCCSA-K	143701
7-methylmellein	CPD-22718	C11H12O3	InChIKey=SLYRNFYMGDTQEZ-SSDOTTSWSA-N	192524
3,5-dihydroxy-1,4-naphthoquinol	CPD-19246	C10H8O4	InChIKey=JNLWKNHLUVQHPV-UHFFFAOYSA-N	133723
1-deoxy-D-altro-heptulose 7-phosphate	1-DEOXY-D-ALTRO-HEPTULOSE-7-PHOSPHATE	C7H13O9P	InChIKey=QIIZYFWCULOBMW-UHFFFAOYSA-L	16421
ochratoxin B	CPD-22715	C20H18NO6	InChIKey=DAEYIVCTQUFNTM-ABAIWWIYSA-M	192526
prunetin	CPD-3521	C16H12O5	InChIKey=KQMVAGISDHMXJJ-UHFFFAOYSA-N	8600
ochratoxin C	CPD-22716	C22H22NO6Cl	InChIKey=BPZZWRPHVVDAPT-PXAZEXFGSA-N	141525
2-decaprenyl-6-methoxy-1,4-benzoquinone	CPD-11659	C57H86O3	InChIKey=POYJNCVGTDCCPK-RDSVHMIISA-N	50773
arginine-methyl-ester	ARGININE-METHYL-ESTER	C7H17N4O2	InChIKey=ZDLDXNCMJBOYJV-UHFFFAOYSA-O	
ochratoxin &alpha;	CPD-22713	C11H8O5Cl	InChIKey=OSFWJKYWJMZKSM-SCSAIBSYSA-M	192527
kynuramine	CPD-7654	C9H13N2O	InChIKey=QLPVTIQQFGWSQQ-UHFFFAOYSA-O	180898
(<i>R</i>)-dihydroformononetin	CPD-24421	C16H14O4	InChIKey=INYISIYHXQDCPK-AWEZNQCLSA-N	
demethylphylloquinone	CPD-6947	C30H44O2	InChIKey=UDYIPZFWVJJQJF-KQPZCCJBSA-N	31087
3-hydroxypyridine	CPD-12318	C5H5NO	InChIKey=GRFNBEZIAWKNCO-UHFFFAOYSA-N	87440
(<i>R</i>)-dihydrogenistein	CPD-24415	C15H11O5	InChIKey=UQGVUYNHDKMLSE-NSHDSACASA-M	
calpeptin	CPD0-1359	C20H30N2O4	InChIKey=PGGUOGKHUUUWAF-ROUUACIJSA-N	3330
hydrodidemethylasterriquinone D	CPD-16848	C22H16N2O4	InChIKey=MSBVTJUYXQZLBV-UHFFFAOYSA-L	
ipsenone	CPD-15928	C10H16O	InChIKey=IAUTWQNZPYUFQE-UHFFFAOYSA-N	
(<i>S</i>)-dihydrogenistein	CPD-24416	C15H11O5	InChIKey=UQGVUYNHDKMLSE-LLVKDONJSA-M	
myristic amide	CPD6666-2	C14H29NO	InChIKey=QEALYLRSRQDCRA-UHFFFAOYSA-N	137125
(<i>S</i>)-dihydroformononetin	CPD-24422	C16H14O4	InChIKey=INYISIYHXQDCPK-CQSZACIVSA-N	
duroquinone	CPD-10343	C10H12O2	InChIKey=WAMKWBHYPYBEJY-UHFFFAOYSA-N	42023
(Chol-P-GalNAc)-GalNAc-(Rib-ol)-P-Glc-AATGal-PP-undecaprenol	CPD-19327	C95H163N5O35P4	InChIKey=VXZVNUMMYQWZJX-UMIKLXFESA-L	
(S)-albendazole <i>S</i>-oxide	CPD-20522	C12H15N3O3S	InChIKey=VXTGHWHFYNYFFV-IBGZPJMESA-N	38950
D-phenylhydantoin	PHENYLHYDANTOIN	C9H8N2O2	InChIKey=NXQJDVBMMRCKQG-SSDOTTSWSA-N	140750
(R)-albendazole <i>S</i>-oxide	CPD-20521	C12H15N3O3S	InChIKey=VXTGHWHFYNYFFV-LJQANCHMSA-N	40763
3,5-dihydroxy-1,4-naphthoquinone	CPD-275	C10H5O4	InChIKey=VYGYXAIGQZWAQC-UHFFFAOYSA-M	58026
phoslactomycin B	CPD-22120	C25H39NO8P	InChIKey=GAIPQMSJLNWRGC-MZAVDHTQSA-M	80042
(+)-gallocatechin	CPD-10358	C15H14O7	InChIKey=XMOCLSLCDHWDHP-SWLSCSKDSA-N	68330
(6<i>S</i>,9<i>R</i>)-vomifoliol	--6-HYDROXY-3-OXO-ALPHA-IONOL	C13H20O3	InChIKey=KPQMCAKZRXOZLB-KOIHBYQTSA-N	49164
(+)-catechin	CPD-1961	C15H14O6	InChIKey=PFTAWBLQPZVEMU-DZGCQCFKSA-N	15600
didemethylasterriquinone D	CPD-16844	C22H14N2O4	InChIKey=HNGJGZFTQRJUIF-UHFFFAOYSA-N	
7-oxoheptanoate	CPD-338	C7H11O3	InChIKey=OOFMTFUTWFAVGC-UHFFFAOYSA-M	80588
(+)-afzelechin	CPD-1962	C15H14O5	InChIKey=RSYUFYQTACJFML-DZGCQCFKSA-N	2507
&alpha;, &alpha;'-trehalose 6,6'-bismycolate	ALPHAALPHA-TREHALOSE-66-BISMYCOLATE	C168H322O15	InChIKey=YICMECNPVMRXKI-BWAZKYJVSA-N	18195
neuromelanin	CPD-12419			
pyrroloquinoline quinone	PQQ	C14H3N2O8	InChIKey=MMXZSJMASHPLLR-UHFFFAOYSA-K	58442
5-hydroxyadamantan-2-one	CPD-744	C10H14O2	InChIKey=TZBDEVBNMSLVKT-UHFFFAOYSA-N	48581
anigorufone	CPD-12201	C19H11O2	InChIKey=ACJJXELQAJQSLK-UHFFFAOYSA-M	
&omega;-oxophylloquinone	CPD-21319	C31H44O3	InChIKey=ZCFFRYOWPNINFW-LYBHJNIJSA-N	
1-ethyl-3-(3-dimethylaminopropyl)-carbodiimide	CPD0-1296	C8H18N3	InChIKey=LMDZBCPBFSXMTL-UHFFFAOYSA-O	
kaempferol-3-O-rutinoside	CPD-15072	C27H30O15	InChIKey=RTATXGUCZHCSNG-QHWHWDPRSA-N	69657
atpenin A5	CPD-15891	C15H21NO5Cl2	InChIKey=OVULNOOPECCZRG-CIUDSAMLSA-N	
rutin	RUTIN	C27H29O16	InChIKey=IKGXIBQEEMLURG-NVPNHPEKSA-M	28527
3-methyl-6-methoxy-2-octaprenyl-1,4-benzoquinone	CPD-15153	C48H72O3	InChIKey=FLYBTLROCQBHMR-KFSSTAEESA-N	28636
&beta;-methylcrotonylglycine	CPD66-102	C7H10NO3	InChIKey=PFWQSHXPNKRLIV-UHFFFAOYSA-M	68499
&alpha;-D-ribose-1-[<i>N</i>-(phosphonomethyl)glycine] 5-phosphate	CPD-19239	C8H13NO12P2	InChIKey=QNFDONCAERINNR-XVFCMESISA-J	
8-hydroxyquinoline-5-sulfonic acid	CPD0-1288	C9H6NO4S	InChIKey=LGDFHDKSYGVKDC-UHFFFAOYSA-M	
1-palmitoylglycerone 3-phosphate	PALMITOYLGLYCERONE-PHOSPHATE	C19H35O7P	InChIKey=MLWXSIMRTQAWHY-UHFFFAOYSA-L	58303
salinisporamycin A	CPD-21937	C33H43NO9	InChIKey=RRHNEUNNHGSOGZ-XNAUDBNZSA-N	
5-<i>S</i>-cysteinyldopaquinone	CPD-20262	C12H14N2O6S	InChIKey=HOKJXHGZPDVBLS-BQBZGAKWSA-N	
nicotine-&Delta;<sup>1'5'</sup>-iminium ion	CPD-3186	C10H13N2	InChIKey=GTQXYYYOJZZJHL-JTQLQIEISA-N	
isatinate	ALPHA-AMINOPHENYL-GLYOXYLATE	C8H6NO3	InChIKey=MQMWPBBDMIYYMI-UHFFFAOYSA-M	82904
asterrate	CPD-14538	C17H15O8	InChIKey=XOKVHFNTYHPEHN-UHFFFAOYSA-M	
5-(methylsulfanyl)deoxyribose 1-phosphate	CPD-7298	C6H11O6PS	InChIKey=RYLZAJAHDRUQIT-JKUQZMGJSA-L	
<i>cis</i>-3,4-dehydroadipyl-CoA semialdehyde	CPD-12012	C27H38N7O18P3S	InChIKey=HTYJHFRYROLBDM-YINSCCIPSA-J	58787
marcfortine A	CPD-25428	C28H35N3O4	InChIKey=KYKUTNUWXQVSSU-JRSJUERASA-N	
aluminium fluoride	CPD0-1229	F3Al	InChIKey=KLZUFWVZNOTSEM-UHFFFAOYSA-K	49464
marcfortine B	CPD-25429	C27H33N3O4	InChIKey=SGIZPBSMKAKPSO-QKHVDVHYSA-N	
(S)-3-chloro-1-phenyl-1-propanol	CPD-15524	C9H11OCl	InChIKey=JZFUHAGLMZWKTF-SECBINFHSA-N	
marcfortine C	CPD-25436	C27H33N3O3	InChIKey=MEDWEEBWLKOHES-DWJNZRAMSA-N	
IDP-ribose	CPD0-919	C15H20N4O15P2	InChIKey=NNJOTDVEZHVDMQ-KEOHHSTQSA-L	
maltotetraose	MALTOTETRAOSE	C24H42O21	InChIKey=LUEWUZLMQUOBSB-AYQJAVFRSA-N	143180
3-hydroxy-3-methyl-butanal	CPD-19088	C5H10O2	InChIKey=FXFBPKDQLDOIRG-UHFFFAOYSA-N	
stachyose	CPD-170	C24H42O21	InChIKey=UQZIYBXSHAGNOE-XNSRJBNMSA-N	17164
<i>o</i>-phenanthroline	O-PHENANTHROLINE	C12H8N2	InChIKey=DGEZNRSVGBDHLK-UHFFFAOYSA-N	44975
2-nitropropane	CPD-244	C3H7NO2	InChIKey=FGLBSLMDCBOPQK-UHFFFAOYSA-N	16037
&beta;-D-xylosyl-(1&rarr;3)-&beta;-D-xylosyl-(1&rarr;4)-&beta;-D-xylosyl-(1&rarr;4)-D-xylose	CPD-25627	C20H34O17	InChIKey=WNDDTGZOCQCUAH-GLCZYGDYSA-N	
demethyldeoxyspectinabilin	CPD-21835	C27H31NO5	InChIKey=CELSPYRBTSNTTI-AQWWNALJSA-N	142931
isolychnose	CPD-16418	C24H42O21	InChIKey=ZJTKROCMWYBRPX-DFMCVVGJSA-N	1683
S-(2-methylpropanoyl)-dihydrolipoamide	CPD-281	C12H23NO2S2	InChIKey=XZUKURPVWDTXGE-UHFFFAOYSA-N	
inulotetraose	CPD-24816	C24H44O20	InChIKey=VHGAULDOGOYKMK-YDSBWMIISA-N	
1''-<i>O</i>-acetyl-ADP-&alpha;-D-ribose	ACETYL-ADP-RIBOSE	C17H23N5O15P2	InChIKey=IJOUKWCBVUMMCR-DLFWLGJNSA-L	142511
(3R,4R)-7,2'-dihydroxy-4'-methoxyisoflavanol	CPD-3441	C16H16O5	InChIKey=YZBBUYKPTHDZHF-BBRMVZONSA-N	72646
lychnose	CPD-12462	C24H42O21	InChIKey=BNOGJEJAYILSFT-XNSRJBNMSA-N	27603
(24<i>S</i>)-24-hydroxycholesterol	CPD-7239	C27H46O2	InChIKey=IOWMKBFJCNLRTC-XWXSNNQWSA-N	34310
(3R,4R)-7,2',4'-trihydroxyisoflavanol	CPD-14740	C15H14O5	InChIKey=GEFJKNBTBQBFOH-WFASDCNBSA-N	142869
(1,3)-&beta;-xylotetraose	CPD-13292	C20H34O17	InChIKey=YIMKISJWNJZSQI-GKDCLMHXSA-N	
3-methoxy-4-hydroxyphenylglycolaldehyde	CPD-11876	C9H10O4	InChIKey=VISAJVAPYPFKCL-QMMMGPOBSA-N	
(3R,4R)-3-(6-hydroxy-1,3-benzodioxol-5-yl)-3,4-dihydro-2H-chromene-4,7-diol	CPD-14741	C16H14O6	InChIKey=VGLBFRZJJZBAST-ZBEGNZNMSA-N	142868
<i>Escherichia coli</i> serotype O:9a O antigen repeat unit	CPD-20079	C24H42O21	InChIKey=GAGYQPUBVRKAAU-YCPSAUHXSA-N	151730
tubercidine 5'-monophosphate	CPD0-1138	C11H13N4O7P	InChIKey=OBKZXEICLJXEAO-KCGFPETGSA-L	74555
CDTA	CPD-14080	C14H22N2O8	InChIKey=FCKYPQBAHLOOJQ-UHFFFAOYSA-N	188859
unsaturated gellan tetrasaccharide	CPD-13187	C24H37O20	InChIKey=JMDPLHPAGLYHCI-PQVUBFRASA-M	134390
L-pantoyl lactone	CPD-15381	C6H10O3	InChIKey=SERHXTVXHNVDKA-SCSAIBSYSA-N	
N,N',N'',N'''-tetraacetyl chitotetraose	CPD-19298	C32H54N4O21	InChIKey=PFZKWTWCVGDJQC-VNVOTFTJSA-N	143142
N<sup>6</sup>-(1-carboxyethyl)-L-lysine	CPD0-2700			60125
triethanolamine	CPD0-2459	C6H16NO3	InChIKey=GSEJCLTVZPLZKY-UHFFFAOYSA-O	132755
acarbose	CPD-17528	C25H43NO18	InChIKey=XUFXOAAUWZOOIT-UGEKTDRHSA-N	2376
(3<i>R</i>)-3,4-epoxy-3-methylbut-1-ene	CPD-19028	C5H8O	InChIKey=FVCDMHWSPLRYAB-RXMQYKEDSA-N	131720
EDTA	EDTA	C10H14N2O8	InChIKey=KCXVZYZYPLLWCC-UHFFFAOYSA-L	64755
&beta;-D-xylosyl-(1&rarr;4)-&beta;-D-xylosyl-(1&rarr;3)-&beta;-D-xylosyl-(1&rarr;4)-D-xylose	CPD-25629	C20H34O17	InChIKey=RZTBEFOUELDNFP-GLCZYGDYSA-N	
<i>N<sup>2</sup></i>acetyl-L-2-aminoadipate 6-phosphate	N2ACETYL-ALPHA-NP	C8H11NO8P	InChIKey=ZSQUJRWIOUMROC-LURJTMIESA-K	61510
ethylenediaminetriacetate	CPD-18914	C8H13N2O6	InChIKey=OUDSFQBUEBFSPS-UHFFFAOYSA-M	
lacto-<i>N</i>-neotetraose	CPD-16472	C26H45NO21	InChIKey=IEQCXFNWPAHHQR-YKLSGRGUSA-N	60239
nortropine	CPD-21747	C7H14NO	InChIKey=YYMCYJLIYNNOMK-ZMONIFLSSA-O	
sulfur dioxide	SULFUR-DIOXIDE	O2S	InChIKey=RAHZWNYVWXNFOC-UHFFFAOYSA-N	18422
4-<i>O</i>-methyl-&alpha;-D-glucuronosyl-(1&rarr;2)-&beta;-D-xylosyl-(1&rarr;4)-&beta;-D-xylosyl-(1&rarr;4)-D-xylose	CPD-25623	C22H35O19	InChIKey=DWUMRQPTCMDVJD-NREUCUKASA-M	
2-aminoacridone	CPD-25690	C13H10N2O	InChIKey=PIGCSKVALLVWKU-UHFFFAOYSA-N	31076
(2<i>E</i>)-2-aminobut-2-enoate	CPD-26174	C4H7NO2	InChIKey=PAWSVPVNIXFKOS-NSCUHMNNSA-N	
N<sub>2</sub>	NITROGEN-MOLECULE	N2	InChIKey=IJGRMHOSHXDMSA-UHFFFAOYSA-N	17997
mediose	CPD-12464	C24H42O21	InChIKey=BVEAURKQZJUQEC-DBZDMAJNSA-N	
apigenin 7-O-[&beta;-D-apiosyl-(1&rarr;2)-&beta;-D-glucoside]	7-O-BETA-D-APIOFURANOSYL-12-BETA-D-GLU	C26H27O14	InChIKey=NTDLXWMIWOECHG-WJIQGHJMSA-M	15932
ethylenediamine-<i>N</i>,<i>N</i>'-diacetate	CPD-18915	C6H12N2O4	InChIKey=IFQUWYZCAGRUJN-UHFFFAOYSA-N	
neo-&lambda;-carratetraose	CPD-13451	C24H36O39S6	InChIKey=SYQAURQZRLJKJT-GTBSAFNRSA-H	
2-aminocyclopentanedione	CPD-16936	C5H7NO2	InChIKey=HONVBDHDLJUKLX-UHFFFAOYSA-N	
coronatine	CPD-7081	C20H29NO2	InChIKey=YKXGLBBFZOVSBK-UWHNRDKOSA-N	80730
nitrogen dioxide	NITROGEN-OXIDE	NO2	InChIKey=OMBRFUXPXNIUCZ-UHFFFAOYSA-N	29424
&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-D-Man	CPD-20116	C24H42O21	InChIKey=RILRCSAJVRKAFD-JDDBNGRQSA-N	
5-hydroxyindole thiazolidine carboxylate	CPD-11670	C13H13N2O3S	InChIKey=DFSPELNJAJEWOM-UHFFFAOYSA-M	
cellotetraose	CPD-13205	C24H42O21	InChIKey=UYQJCPNSAVWAFU-ZEUIETHYSA-N	
acridone	CPD-25691	C13H9NO	InChIKey=FZEYVTFCMJSGMP-UHFFFAOYSA-N	50756
thiourea dioxide	CPD0-1038	CH4N2O2S	InChIKey=FYOWZTWVYZOZSI-UHFFFAOYSA-N	
cyclobis-(1&rarr;6)-&alpha;-nigerosyl	CPD-19461	C24H40O20	InChIKey=NIFXVRWMHZPIFE-KCLHJWPFSA-N	136822
tert-butylamine	CPD-15151	C4H12N	InChIKey=YBRBMKDOPFTVDT-UHFFFAOYSA-O	224366
acarbose 7<sup>IV</sup>-phosphate	CPD-17529	C25H42NO21P	InChIKey=VXXDSQWLTKKGLO-UGEKTDRHSA-L	
2,5-piperidinedione	CPD-16938	C5H7NO2	InChIKey=ICZVBOAABXHPSZ-UHFFFAOYSA-N	
D-3-hydroxy-4-trans-decenoyl-CoA	CPD0-2678			
&lambda;-carratetraose	CPD-9439	C24H36O39S6	InChIKey=CFLYIPGVTFOQCI-SDNHUNQPSA-H	
2,4,6-trioxohexanoate	CPD-18974	C6H5O5	InChIKey=FZZFPTPSFVJXGD-UHFFFAOYSA-M	
lacto-<i>N</i>-tetraose	CPD-16473	C26H45NO21	InChIKey=AXQLFFDZXPOFPO-FSGZUBPKSA-N	30248
adamantanone	CPD-743	C10H14O	InChIKey=IYKFYARMMIESOX-UHFFFAOYSA-N	40611
<i>N</i>-methyl-(<i>R,S</i>)-tetrahydrobenzylisoquinoline	N-METHYL-RS-TETRAHYDROBENZYLISOQUINOL	C17H20N	InChIKey=VKRKVLLLTIHDEF-UHFFFAOYSA-O	57598
&beta;-D-xylosyl-(1&rarr;4)-[4-<i>O</i>-methyl-&alpha;-D-glucuronosyl-(1&rarr;2)]-&beta;-D-xylosyl-(1&rarr;4)-D-xylose	CPD-25626	C22H35O19	InChIKey=IBPXPPHZZQVGHN-NREUCUKASA-M	
<i>N</i><sub>&beta;</sub>-methylnorajmaline	CPD-21571	C20H27N2O2	InChIKey=JZAZLBSWQUUXFV-VHXHRMHRSA-N	
Gal-&alpha;(1&rarr;3)-[GlcA-&beta;(1&rarr;2)-Man]-&alpha;(1&rarr;3)-Gal	CPD-13740	C26H43O21	InChIKey=HBFCQCVCIACQED-XRRDPRORSA-M	
debromoaplysiatoxin	CPD-21918	C32H48O10	InChIKey=REAZZDPREXHWNV-BUNNSNHRSA-N	4344
graphinone	CPD-19223	C16H24O5	InChIKey=NESRXFGQJARQNM-OWYFMNJBSA-N	5539
(4S,5S)-5-[(3Z)-dec-3-en-1-yl]-4-hydroxypyrrolidin-2-one	CPD-25982	C14H25NO2	InChIKey=ZIRPPNXTWNUKCW-YHQHFJRFSA-N	
aplysiatoxin	CPD-21919	C32H47O10Br	InChIKey=RHJPBGWFGOAEID-FAXOFGCBSA-N	80716
&alpha;-D-xylosyl-(1->6)-&beta;-D-glucosyl-(1->4)-[&alpha;-D-xylose-(1,6)-]-&beta;-D-glucose	CPD-10498	C22H38O19	InChIKey=HHXODKCLMMLNCM-ABVJEWOGSA-N	137466
6-hydroxyhexan-6-olide	6-HYDROXYHEXAN-6-OLIDE	C6H10O3	InChIKey=FXIBGWAZMBWMLW-UHFFFAOYSA-N	17075
(1,4)-&beta;-xylotetraose	CPD-13216	C20H34O17	InChIKey=KPTPSLHFVHXOBZ-BIKCPUHGSA-N	62972
neocuproine	CPD-19535	C14H12N2	InChIKey=IYRGXJIJGHOCFS-UHFFFAOYSA-N	91222
2-amino-3-hydroxycyclopent-2-enone	CPD-16935	C5H7NO2	InChIKey=BNEMVGOLRDWNEG-UHFFFAOYSA-N	
&alpha;-aminooxy-&beta;-phenylpropanoate	CPD-7021	C9H10NO3	InChIKey=BRKLOAHUJZWUQQ-QMMMGPOBSA-M	
thapsigargin	CPD-22234	C34H50O12	InChIKey=IXFPJGBNCFXKPI-FSIHEZPISA-N	93212
&alpha;-isomaltosyl-(1&rarr;3)-isomaltose	CPD-19462	C24H42O21	InChIKey=WUWPXNNUBKKWHD-ZPWXTSRPSA-N	136823
IAA-phenylalanine	CPD-11559	C17H15N2O2	InChIKey=SOJLVIBHLQRFLT-UHFFFAOYSA-M	
4,7-phenanthroline	CPD-19546	C12H8N2	InChIKey=DATYUTWESAKQQM-UHFFFAOYSA-N	36419
hyaluronate tetrasaccharide	CPD-12583	C28H42N2O23	InChIKey=UUIOBSMRTZOIBC-GFDBXWJMSA-L	
BPH-700	CPD-9928	C16H16O6PSK3	InChIKey=LBNUOQAEVSXSSE-UHFFFAOYSA-K	
coelenteramide h	OXIDIZED-LUCIFERIN	C25H21N3O2	InChIKey=GLNOCHFLWSMEDS-UHFFFAOYSA-N	17959
lycotetraose	CPD-18735	C23H40O20	InChIKey=DPSWBCAAYVEQQC-PVWXGCHLSA-N	
(1S)-1,25-dihydroxy-24-oxocalciol	CPD-15059	C27H42O4	InChIKey=BWFQMABKLLTETH-UZEGMWDYSA-N	47812
coelenteramide	OXIDIZED-OPLOPHORUS-LUCIFERIN	C25H21N3O3	InChIKey=CJIIERPDFZUYPI-UHFFFAOYSA-N	41487
1-hydroxy-2-naphthoyl-CoA	CPD0-2531	C32H38N7O18P3S	InChIKey=ZHSLHXZSNOSMQG-HSJNEKGZSA-J	
ground-state coelenteramide disulfonate	OXIDIZED-WATASEMIA-LUCIFERIN	C25H19N3O9S2	InChIKey=OIGFBCOUXJVZJQ-UHFFFAOYSA-L	57935
validamine 7-phosphate	CPD-18788	C7H15NO7P	InChIKey=WTRFKFAOQHUCRP-UOYQFSTFSA-M	111503
&alpha;-D-Man-(1&rarr;3)-&alpha;-D-Man-(1&rarr;2)-&alpha;-D-Man-(1&rarr;2)-D-Man	MANNOSYL-ETCETERA-D-MANNOSE	C24H42O21	InChIKey=NXPDEZAEUSDDQF-SHOVVSDRSA-N	17631
excited-state coelenteramide disulfonate anion	CPD-20265	C25H18N3O9S2	InChIKey=ORWAEUXJKFOVLN-UHFFFAOYSA-K	
9-nonacosene-2-one	CPD-8499	C29H56O	InChIKey=HCCNNQOYHKAATG-QURGRASLSA-N	
<i>N</i>-cyclohexylformamide	N-CYCLOHEXYLFORMAMIDE	C7H13NO	InChIKey=SWGXDLRCJNEEGZ-UHFFFAOYSA-N	17945
<i>Salmonella enterica</i> serotype O:9 O antigen repeat unit	CPD-23726	C24H42O18	InChIKey=KBKKKSLORYFXSB-ZULCQCPBSA-N	
dehydrosecodine	CPD-21545	C21H25N2O2	InChIKey=FGHJSNGBTCVANJ-UHFFFAOYSA-O	146237
<i>Escherichia coli</i> serotype O:86 O antigen repeat unit	CPD-21365	C34H58N2O25	InChIKey=ZVNHTKRAGCIGNI-BGHKGWIJSA-N	
2-heneicosanone	CPD-7891	C21H42O	InChIKey=VUVUIDMZOWHIIJ-UHFFFAOYSA-N	179411
2-amino-3-carboxy-1,4-naphthoquinone	CPD-25747	C11H7NO4	InChIKey=GXDIXDKPIUJGOV-UHFFFAOYSA-N	
